experiment,mrr@1,mrr@5,mrr@10,mrr@100,success@1,success@5,success@10,success@100,recall@10,recall@50,recall@100,precision@10,precision@100,f1@10,f1@100
zero-shot-embeddinggemma-300m,0.5658081904619301,0.6621765116917611,0.6699780360099034,0.6744728994190997,0.5658081904619301,0.8088642659279779,0.8664370741933068,0.9653739612188366,0.8051574526643778,0.8875008467113746,0.9068564904437498,0.09149883955974343,0.010580220109302724,0.16269954179350538,0.020882941219236874
zero-shot-F2LLM-v2-160M,0.4900426742532006,0.5786840857478165,0.5879153045011934,0.5937103665471644,0.4900426742532006,0.71771355843378,0.7859174964438123,0.9230740435726585,0.7283568986477574,0.8322653183456501,0.8640000606067091,0.08251104289882427,0.010012353073292067,0.14682076555544232,0.019765315480030007
zero-shot-F2LLM-v2-330M,0.5629258066931198,0.6510319183449517,0.6591768064067359,0.663821577307687,0.5629258066931198,0.785842629332934,0.8455865838137306,0.9523096503705922,0.7854408425045541,0.8691871036053873,0.8929923492942899,0.08931271992210219,0.010401287714303993,0.15880709178324692,0.020530591450370034
zero-shot-granite-embedding-311m-multilingual-r2,0.5738564048813356,0.6662567692346226,0.6738372127568913,0.6782896966839911,0.5738564048813356,0.8062439170472412,0.8623568166504455,0.9601706970128022,0.8016985921418052,0.8818100847186731,0.9020333847896195,0.09136407876016288,0.010513588380621183,0.16240298473876036,0.02075210405252513
zero-shot-granite-embedding-97m-multilingual-r2,0.5106685633001422,0.6017961867685053,0.6102489658237744,0.6156823715211465,0.5106685633001422,0.743505278131317,0.8059444486037284,0.9319457962117242,0.7479596929735434,0.8450534824496039,0.8728422823298175,0.08496294078008304,0.010116044021858268,0.1510967327448819,0.019969702348769908
zero-shot-harrier-oss-v1-270m,0.5507599011754136,0.6471675276384597,0.655558838418965,0.6602495538033125,0.5507599011754136,0.7944149135284869,0.8560679793366774,0.960058396346485,0.7942870155474034,0.8801368344997174,0.9020631236697743,0.09057797409594269,0.010549150258288313,0.16096199414590484,0.02082045532859082
zero-shot-multilingual-e5-base,0.5177435052781313,0.6158680841506541,0.6249883985687499,0.6302596229454627,0.5177435052781313,0.768585760275511,0.8359661600658831,0.9539941603653515,0.77416229050578,0.8680733662035597,0.8938792571756574,0.0882608370142646,0.010405031069847878,0.15687456382416026,0.020538417538324655
zero-shot-phobert-base-v2,0.2412218312495321,0.31546567342965487,0.3271546873347409,0.33703516247924004,0.2412218312495321,0.44003144418656887,0.527401362581418,0.7701205360485139,0.4805336598965417,0.6520468727532449,0.7126287744016273,0.05452197349703522,0.00820955304334642,0.09697382159496379,0.016208272395651247
zero-shot-phobert-base,0.26896009582990194,0.34782635821416774,0.35940021937252126,0.36867749919472836,0.26896009582990194,0.4803848169499139,0.5667440293479075,0.7928427042000449,0.5184128529003885,0.6790417544572668,0.7352546551300018,0.05860597439543714,0.008467470240321597,0.10431687109011739,0.016717468201306575
zero-shot-phobert-large,0.18248858276559107,0.2408818097876214,0.2505575371572576,0.25936351234067045,0.18248858276559107,0.34038331960769636,0.41307928427042,0.6422849442240024,0.37628985336741566,0.5267312128115457,0.5906267268455643,0.04259189937860539,0.006788575278879363,0.07580123065906808,0.013403501928242766
zero-shot-vietnamese-bi-encoder,0.555963165381448,0.6453438895959844,0.6530108462241587,0.657708721242138,0.555963165381448,0.7820992737890244,0.8388111102792544,0.9451224077262859,0.7803641987852511,0.8630125871815628,0.8867071959177235,0.08852661525788187,0.010299468443509699,0.15746768234992126,0.02033072955318259
