,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Pair Classification,Reranking,Retrieval
0,1,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),92%,,,3072.0,2048.0,77.83,77.77,79.21,76.14,77.94
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),92%,6.98,7.505,4096.0,32768.0,77.35,77.88,79.66,77.59,76.39
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),92%,6.946,7.567,4096.0,32768.0,80.2,80.4,86.11,75.29,79.82
3,4,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),78%,25.599,27.009,5376.0,131072.0,77.53,78.44,84.06,75.36,75.9
4,5,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),92%,6.946,7.567,4096.0,32768.0,80.49,80.36,84.38,75.98,80.72
5,6,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),92%,3.634,4.022,2560.0,32768.0,79.11,79.15,83.6,74.81,79.04
6,7,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),78%,10.759,11.766,3840.0,32768.0,77.28,77.95,81.31,76.49,76.06
7,8,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),92%,0.106,0.308,768.0,2048.0,74.0,74.7,77.71,73.67,72.73
8,9,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,75.58,76.77,80.81,76.04,73.45
9,10,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),78%,,,2048.0,32768.0,75.7,78.11,87.87,75.1,71.36
10,11,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),78%,13.214,13.99,5120.0,40960.0,75.14,76.79,77.32,80.86,72.18
11,12,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),78%,6.947,7.568,4096.0,40960.0,75.08,76.59,77.08,80.31,72.37
12,13,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,73.98,75.3,79.31,75.01,71.59
13,14,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),92%,6.98,7.111,4096.0,32768.0,72.51,73.51,76.19,73.65,70.7
14,15,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),78%,3.634,4.022,2560.0,40960.0,74.39,76.06,76.96,79.85,71.39
15,16,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,72.78,76.01,85.31,75.76,66.96
16,17,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,72.73,74.58,80.03,74.31,69.41
17,18,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),92%,6.98,7.111,4096.0,32768.0,72.17,73.2,75.35,73.93,70.32
18,19,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),78%,0.44,0.596,1024.0,32768.0,72.79,73.97,78.64,72.62,70.66
19,20,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),92%,0.44,0.596,1024.0,32768.0,74.79,74.9,79.03,71.05,74.61
20,21,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),92%,6.98,7.111,4096.0,32768.0,71.56,73.15,77.01,73.74,68.7
21,22,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),92%,3.633,4.022,2560.0,32768.0,72.54,73.23,76.95,71.42,71.3
22,23,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),78%,1.41,1.721,2048.0,40960.0,72.13,74.08,75.9,77.71,68.62
23,23,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,70.9,72.24,74.25,73.99,68.49
24,25,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),85%,7.719,7.85,4096.0,32768.0,69.97,71.43,72.66,74.28,67.35
25,26,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,71.09,72.11,71.42,75.65,69.26
26,27,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),92%,7.109,7.24,4096.0,32768.0,71.7,72.88,75.34,73.72,69.58
27,28,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),92%,2.13,2.445,2048.0,32768.0,71.59,72.91,75.3,74.2,69.21
28,29,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,70.21,72.3,74.79,75.64,66.46
29,30,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),78%,0.441,0.596,1024.0,40960.0,70.52,72.62,74.82,76.31,66.73
30,31,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),78%,0.1,0.268,640.0,32768.0,70.41,71.85,75.68,72.04,67.82
31,32,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,70.5,71.14,70.45,73.6,69.36
32,33,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),85%,7.719,7.85,4096.0,32768.0,69.6,70.47,68.25,75.11,68.04
33,34,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),92%,0.304,0.56,1024.0,514.0,69.8,71.8,75.4,73.82,66.19
34,35,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),92%,13.0,57.92,32768.0,32768.0,69.45,71.03,75.01,71.45,66.62
35,36,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),92%,1.409,1.721,2048.0,512.0,70.27,71.65,76.62,70.55,67.79
36,37,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),92%,,,768.0,2048.0,68.87,70.75,75.84,70.91,65.49
37,38,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,70.35,70.5,69.71,71.73,70.06
38,39,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),92%,6.98,7.111,4096.0,32768.0,69.43,70.86,73.08,72.64,66.85
39,40,[bge-m3](https://huggingface.co/BAAI/bge-m3),85%,0.312,0.568,1024.0,8194.0,69.29,71.5,75.65,73.55,65.31
40,41,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),85%,1.307,1.54,8960.0,131072.0,66.83,69.47,74.85,71.49,62.07
41,42,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,68.59,70.87,72.68,75.43,64.49
42,43,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,,,85.0,,66.55
43,44,[granite-embedding-311m-multilingual-r2](https://huggingface.co/ibm-granite/granite-embedding-311m-multilingual-r2),85%,0.11,0.312,768.0,8192.0,69.38,69.97,70.11,71.47,68.32
44,45,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),92%,0.698,1.0,1152.0,512.0,69.01,70.62,74.99,70.73,66.13
45,46,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),92%,0.304,0.56,1024.0,514.0,67.98,70.21,74.96,71.72,63.95
46,47,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),92%,0.312,0.568,1024.0,8192.0,68.0,69.78,69.68,74.87,64.79
47,48,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),92%,0.113,0.305,768.0,8192.0,66.93,68.51,68.63,72.82,64.08
48,49,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),92%,0.44,0.596,1024.0,512.0,67.82,69.28,74.08,68.56,65.19
49,50,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),78%,0.198,0.334,896.0,40960.0,68.31,70.62,72.86,74.88,64.14
